Text,sentiment
Just what I was looking for. Great taste and low in sodium. Good value. Arrived in timely fashion. Would order again.,positive
Taste is personal opinion - having said that I've had a lot of mochas over the years and this one doesn't stack up very well.  It taste like a cheap chocolate drink.  I like K cups but can't recommend this one.,negative
"I've been using this with my vietnamese coffee filter set, and the flavor is perfect! It's exactly how it tastes at restaurants. I highly recommend it - although I haven't had much experience with New Orleans coffees, I know good coffee when I taste it!",positive
This product was not fresh and had very little flavor. Also had hard chunks of what appeared to be stems. Very dissapointed.,negative
"I bought Dogswell Vitality for Dogs Chicken Breast for my finicky Boston Terrier after visiting my mom's and she gave him a dried chicken meat treat which he devoured. But I didn't like how brittle and hard the jerky treat was and made me concerned about him choking on it, even after breaking them into bite size pieces. I found Dogswell Vitality for Dogs at Target and gave it try after feeling through the bag that it wasn't as hard as the other dried meat treats with a slight bendable feel to it plus the disclaimer that the flaxseed and vitamins included helped dog's healthy eyes, skin and coat. The reason the disclaimer appealed to me is my dog has dry, flaky skin and occasionally gets dry patches.<br /><br />I have tried all types of shampoos, both prescribed by the vet and store bought, even RX fish oil pills from my vet, which I disliked giving my dog because I don't like putting pill in mouth daily since I couldn't trick him by putting it on his food. I can say none of them worked near as well as Dogswell Vitality for Dogs Chicken Breast for his skin problems.<br /><br />I've been given my dog, who weighs approx. 18 lbs., two to three strips a day broken into bite size pieces for nearly two months now. After about two weeks, I noticed the flaky dry skin scales weren't as noticeable and now it's barely noticeable at all. When I noticed the difference at two weeks I started ordering Dogswell Vitality for Dogs Chicken Breast through Amazon's Subscribe and Save program because I knew this treat was going to be a regular part of my dog's daily meal plan going forward and the program helps cut the cost of these expensive dog treats.<br /><br />I do recommend in an additional to this treats zip bag, putting the treats in a second ziploc type bag to help keep the jerky strips from drying out further and loosing it small bit of moisture. I have found this keeps the jerky strips as moist as when you first open the bag. And even though these jerky treats aren't as brittle and hard as it's competitors, they are still brittle enough that I feel I need to break them into bite size pieces for my dog.",positive
"I got a sample bag of these baby food bags when I received my order of breastmilk bags and I love it. Here's the irony: I bought the breastmilk bags to store baby food in (I felt so smart), ha. I love the Honeysuckle products, very well made. Turns out the baby food bags cost less than the breastmilk bags. The only upside I can see to using the breastmilk bags for baby food is if you prefer to freeze more than 4 oz of food. The baby food bags hold 4 oz and the breastmilk bags store 6 oz. Either way their great.",positive
"My husband and I drink all dirrerent kinds of coffee. I ordered this one based on all the great reviews. We don't like it at all! It smells like cat urine and has a very robust flavor that is not smooth. Wouldn't recommend to anyone and now stuck with all the nasty coffee. However, a valuable lesson has been learned; never buy coffee without a taste test.",negative
"My son and I consider ourselves quite the coneseours of jerkey and we must tell you this is some real fine jerkey. Some of the Best we have tasted and we have tried many different brands from across the country and we definetly give our accolades to this. You will not be dssapointed and they even had a few sample in there, surprises like that are a real nice touch. As a matter of fact we will be putting in another order and look forward to enjoying some more of this fine tasting jerkey. We cannot wait, Yum Yum!!!!",positive
"$15 for 24 servings??  that is crazy, especially that you can get green teas in a box cost a few bucks.  Also, the plastic cups go in landfill.  i will never buy these cups again.",negative
I like this cereal a lot. I used to like Team Flake cereal and have not seem in in years. This comes pretty close to it's blended grain flavor. I hiave even mixed it with the Harvest cereal with strawberries and blueberries to make that one last longer and it helps reduce the sweetness of the Harvest cereal and blends in nicely.,positive
"I never thought country sausage gravy was something you could completely screw up, but I was wrong.<br /><br />I tried eating a can of this with some biscuits and it was practically inedible. The gravy has an acrid, somewhat metallic taste which no amount of extra seasoning seems to be able to mask.<br /><br />I've got an iron stomach and have practically never met a gravy I didn't like, but I couldn't even bring myself to eat the whole can. And I HATE wasting food.<br /><br />RUN AWAY. Seriously.<br /><br />The only redeeming factor for this product is it doesn't really contain anything nutritionally atrocious such as hydrogenated oils, something which can't be said for most similar packaged white gravies.",negative
"I grew up in Wisconsin, liking Velveeta, a processed cheese made from the leftovers of better cheddars and other cheeses. This was considered a sin by my uncle, a cheese broker in Manitowoc. Nevertheless, we ate a lot of it, because it was cheap. Now (sixty years later) I can afford Wisconsin's finest cheddars; but this product seemed worth a try.<br /><br />You need nothing but the package and a pound of skinless chicken breasts. Forty-five minutes is required start to finish; but there is little to do for 50% of this time.<br /><br />The package has a pasta bag (just fine), a barbeque sauce bag, a vegetable bag (tiny and not attractive), and a cheese sauce bag. The taste was just fine; but I will substitute some frozen stir-fry veggies next time.",positive
"Bonsai arrived well packed, no damages to the pot nor the plant. Very green and appears to be really healthy.<br /><br />It was bought as a gift, but really makes me want to get one just for myself!<br /><br />I will place pictures of bonsai I got.<br /><br />Thanks!",positive
"As a few of the other reviews have said, as long as you pick a good location, these traps work really well.  I had a few false starts with some less defined tunnels but as soon as I picked a tunnel where the route was very clear, I caught my mole within 24 hours.<br />A nice thing about this trap is that you don't have to dig down into the ground to place them.  Just stick them into the ground where you find a well used tunnel.  I bought two, but I actually think one would have been totally fine.  It seems pretty sturdy too, so if we get any more moles in the future I will be ready!<br />All in all, I would certainly recommend this product.",positive
"I avoided this cereal for what seemed like years.  It looked like bird food and I imagined the taste would be the same.  When I started losing weight 2 years ago I finally caved and was pleasantly surprised.  It has a great mix of crunchy textures and is lightly sweet.<br /><br />Best of all it is low in calories while keeping me full and satisifed.  A cup is only 140 calories and yet gives you 10 grams of fiber and 13 grams of protein.  Being an abid label reader I've come to appreciate how rare that is and although I've tried many other healthy cereals it's hard to find a nuritional profile that matches this one.  If I eat something else in place of this I can tell the difference because the fiber and protein of this cereal keep me fuller longer than anything I have tried.<br /><br />I think the one criticism of this cereal could be that the flavor is mild so I often combat this by paring it with lite flavored soy milk, berries, or other toppings.  Or, if I am feeling in the mood for a more flavorful or sugary cereal like <a href=""http://www.amazon.com/gp/product/B001EO5RZE"">Nature's Path Organic Optimum Banana Almond 11-Ounce Boxes (Pack of 6)</a> I will usually mix my bowl of 1/2 and 1/2 to get the best of both worlds.<br /><br />Overall though this is a fantastic cereal.  It is filling, crunch, and much more flavorful and sweet than one might think.",positive
"We have two cats and we were feeding them with ""Advanced Pet Diets Select Choice"" food but unfortunately it was discontinued so we had to research for another great product. We were recommended this cat food by several people who know what the ingredients suppose to be in it and because this food is made by the same company so we expected same quality.When we got it and opened the bag we noticed different smell (not very pleasant ) and that this food is very dry( the old one was kinda oily ) and both cats didn't like it at all, sometime they don't even want to come and eat it even they are hungry. Now we will have to donate this food to the pet shelter but we learn the lesson, the only way to find the right food is not just by reading the ingredients but buying samples and give them to the pets.",negative
"I didn't like the Bob's Red Mill golden flax seed because it had too many pieces of stems and dark, discolored flax seeds in it.  I thought the price, compared to some other sellers, was too high.  I will not purchase this product again.",negative
This is the best fried chicken flour one can buy.  If you love southern fried chicken then this is part of the receipt to obtaining it!  It's seasoned just enough to make your own receipt finger licking good.  Enjoy.,positive
This was just okay.  There are better choices like the Black Bean or Split Pea,negative
"I have tried several brands of coconut oil, and this is so far my favorite.  It has a delightful flavor and consistency.  I like it for cooking, baking, skin lotion, and straight from the jar on a spoon.  It is a great quality as well, and a great price.  I will definitely continue to buy this product!",positive
"I bought these cookies for myself and as a gift for my dad for his birthday. Unfortunately, 2 out of 4 of the boxes I gave my dad as a gift had mostly broken cookies, and were stale tasting. Not a great gift idea, and not really packaged or handled well. I have bought the delice cookies in the past and had no problems other than a random broken cookie in a box. I have not opened all of the boxes yet of course, but will hope to find a couple that are not all broken up to give to my dad.",negative
"On their site, they say ""PayPal accepted upon request"". If you request to pay with PayPal, it takes them 4 days to acknowledge it. And this is the only site I've ever seen that accepts PayPal ""by request"". Very primitive marketing.",negative
The beans smell nice but they were super hard a few even broke in half as I was opening the package. I wish they would have been fresher because I really love the smell of them.,negative
This tea is wonderful.  You can see the berries in each tea sachet.  I drink this iced every day!,positive
"I love Newman's products, but my dog hated it.  We purchased a case hoping to feed our dog something that doesn't contain all of the artificial chemicals, but he wanted nothing to do with it!  If you like organic, support Newman's products.  Hopefully your dog will like it better.",negative
"These don't taste very good. I haven't found a person yet that likes them. They just taste bad, like old fruit. And the packaging is not frustration free! Often the glue runs and the bag is stuck within the box.",negative
"Zero out of five cats, all ferals, said euck.<br /><br />I've got a new feral who will eat nothing but Safeway's Mom-to-Mom Chicken Baby food (buck a jar!)<br /><br />He will not eat:<br />Chicken livers Steamed and pureed . or raw NO<br />Chicken hearts, Steamed and pureed , combined or separate from livers NO<br />Chicken breast, steamed and pureed NO or saut&eacute;ed/pureed NO<br />Chicken thighs saut&eacute;ed in water, pureed NO<br />Beef steak, steamed and pureed, saut&eacute;ed/pureed NO<br />Pork ditto NO<br />Baby food (chix only. will not touch others) - Mom to Mom YES; Beeches NO, Oorganics Not anymore, Gerbers NO<br />Calif. Nat. Chix/rice, Deep water fish canned  NO. Chix/rice dry YES<br />Whiskas  chicken a little some times<br />Safeway priority NO<br />Science Diet chicken  once; I/D dry and canned NO<br />Tuna w/water (bumble bee, safeway brand)<br />Tuna w/oil  (walmart) NO<br />Pink Salmon - canned for human consumption NO<br />TwinPet w/chicken (walmart) NO<br />Fancy Feast Classic (liked for awhile, no more) Grilled (NO)<br />IAM  NO<br />MAX Cat Adult Turk/Gib once<br />Newman's NO<br />Wellness -grain-free Chicken NO<br />EVO - cat & kitten chicken NO<br />Meow Mix - Chicken and Liver NO, Chicken topped w/shreds NO<br />Fancy Feast Chicken dry NO<br />Friskies- chicken w/fish and cheese canned NO<br /><br />ANY SUGGESTIONS ANYONE? please. He's been to two vets and they can't find anything wrong. weird. I'm going bananas with this guy",negative
"These cookies are great! Of almost all of the favors, they are the only ones my husband, brother and his wife like...even over the chocolate! The spirulina  ones taste mostly like banana, so they are good too, but my tasting audience thiught they looked weird.<br />I like the crispness of the carrot ones (spirulina often softer/chewer) and while there is no overwhelming carrot taste, there is no overwhelming any taste which is actually nice as all the favors simply mesh well together to create a tasty, crunchy ""cookie"".",positive
"My dog isn't overly picky about treats, but she won't eat anything put in front of her.  There are some treats that I buy that she just can't wait for the next one to come out of the bag.  These don't fall into that category.  She eventually ate a couple, but it took a little while for her to do it, and she didn't seem very excited about these treats at all.  If these were a health food, I'd give them at least three stars because she will eat them - but as a treat, I'm giving them two stars because she doesn't seem to like them.  I figure that a treat should be, well, a treat - and she should be excited to get them.<br /><br />This might be a great product, but my only experience with it is through my dog, and she seemed indifferent at best.",negative
I'm so glad Taco Bell decided to market their unique sauces. This gives an unbelievable kick to some lettuce and tomatoes ! Also have spread some on the inside of a toasted cheese sandwich that resulted in an equally bold taste.,positive
"This coffee is better than any ""coffee house"" coffee. Freshly brewed each time, with a strong, smooth flavor! Excellent! Delivery is fast! Never worry about remembering to pick up k-cups at the market again. Amazon service rocks!",positive
"I was really lured in by the price and eco-friendly ""pod"" cup. I had read the good and bad reviews and decided it was worth trying the Fog Chaser. Well, I loved it! My cup was as bold and rich as traditional plastic K-cups and better than the reuseable cups (My K-cup, Ekobrew). This will be a mainstay in my coffee selection due to the flavor and affordability. I highly recommend trying it.<br /><br />Hopefully, someone can comment on whether these will work for the new Keurig Vue machine.",positive
"I ordered this because the Starbucks Whole Bean Columbian was not available for Prime shipping. What a mistake. There is an astringent undertone to this coffee, and it lacks the richness and flavor of the Starbucks product. I'm not sure what I am going to do with it, but I won't be drinking it.",negative
"I'm a big fan of Captain Crunch, Cocoa Krispies, Cocoa Puffs, Golden Grahams, and so on and when I read the reviews that this was 'the best cereal ever' I had to try it. Luckily my local Wal-Mart had this cereal on the shelves for $2 a box (I bought 3 boxes based on the reviews.)  Well all I can say is this cereal is terrible. Its super super sweet and the main grain puff (its a square light brown puff) that has the consistency of a hard Cheeto (the cheese snack).  The little chocolate marshmallows are good but the main component of the cereal, those grain puffs, are not to my taste. I can honestly say this is one of the worst cereals I've ever tasted.",negative
"I told my husband I was reviweing this, and he said, ""Give it 5 stars!"" Lol!! We've only had ours for 2 weeks, but we absolutely love it! For the holidays, it was so perfect - my daughter's made espresso for their lattes, my husband his Breakfast Brew, my teens made hot chocolate, and I had several cups of decaf hazelnut. It's so quick and easy, the whole family loves it!  It's great for making tea too!  Two small cups make a full mug, and one large cup leaves just enough room to add Bailey's. :)",positive
"Still, a good, solid mint and decent mint flavor.  It is difficult to find silver mints (as they used to be called) but these aren't bad.",positive
"If you are used to microwaving your Quaker oatmeal and pouring a packet of powder that is mildly like apples and cinnamon into the bowl, then this might not be the oatmeal for you. It has things like texture and a flavor of its own going for it. This is a man's breakfast, not a child's. It's thick, it's hearty and it tastes fine without a bunch of sugar, syrup or fruit, although I must admit, I am partial to adding fruit. Bananas are nice. This tin is an excellent value. If you go to Whole Foods or a similar shopping establishment to buy your Mc Cann's, you are not getting the most out of your breakfast dollar. Buy your Mc Cann's in bulk! You're going to want plenty of it around!",positive
"I had to give up caffeine and I SORELY MISS COFFEE. Like a lot of people who love coffee I used turned my nose up at decaf. But being forced into the situation and desperately missing the taste of good coffee I tried this product. I went for instant coffee because, it being decaf, I have to go off on my own and segregate myself from the caffeine drinkers with an electric tea kettle.<br /><br />The verdict... LOVE IT. I can drink coffee again, even if it's decaf.<br /><br />The ultimate consumer compliment: I will be buying more.",positive
"We have enjoyed this red popcorn very much.  Very ""earthy"" natural taste.  Works well in our popper, very few unpopped kernels",positive
"This Product is Excellent, having Tasted and bought a 600ml Bottle in Thailand (Koh Samui).The Only Problem I have with Ordering was I didnt Know the Actual Quantity I would be Receiving. It did say one of, but I think I payed $41 Australian for a 300ml bottle which I received in the Mail. I thought I might've been receiving one dozen bottles Which does seem more realistic? I am waiting to get my Visa Card statement, hopefully it was 40baht I Paid? instead od Aussie Dollars? See What Happens..<br />Yours Ian..",positive
"My son likes these rolls better than traditional rolls (he is not GF; I am).  I don't like them as well, but they aren't bad.  One complaint is that they are too big and I end up with too much roll.  I really like that they are packaged in such a way that I don't have to freeze the extras in the case!",positive
"Let me say I have been drinking ONE coconut water since it first came to market and I loved it. I noticed my last shipment had a funny taste.  I checked the shipping carton and found that ONE has started getting its coconut water from the Phillipines.  Big mistake.  It's awful. The only way you'd know this is if you buy it by the case.  ONE doesn't identify the source country on individual Tetra Paks. Anyone who started with ONE in the beginning knows they used only Brazilian coconuts as their source.  The original stuff was crisp, clean and totally refreshing.  This new source is murky and not satisfying at all.  Time to look into other brands.  I'm so disappointed.",negative
"This review isn't about the product, which is great.  It's about Amazon jacking up the price 33% in the last three weeks.  Here's a big F-U to the greed which is destroying this country. How can 3oz of freeze dried chicken cost $10?  From $6.50 to $10 is a joke.<br /><br />Thanks for a great product. Best way to keep loyal customers is to F*** them over.  Keep up the good work!",negative
I READ THE REVIEW AND FOUND IT TO BE TRUE...GREAT BALANCE OF ACIDITY AND HOT FLAVORS...,positive
I used this to add flavoring to plain quick oats instead of using flavored instant oatmeal.  I think it tastes better and it add more nutrients to the already healthy oats!  I just add a few splenda packets with it and I could eat it for every meal!,positive
"I wish this product mixed better with water (how i primarily use these green food powders). Most of the powder settles at the bottom within a minute after I shake/mix it up. Also, drinking it with all of that undissolved sediment isn't plesant at all. The flavor is nice, but not nice enough to make up for the fact that it doesn't dissolve.",negative
"These burgers are great, my only problem is between cost and shipping it becomes a little pricey",positive
The drawer is sturdy and made well. Pleased with it. Although the cups don't always stand up when opening and closing the drawer. Slight inconvience.<br />Like it very much and would recommend it to anyone.,positive
"The coffee had a nice bold, flavor, but the foil on the cups were not properly sealed, and I mean all of the cups. Every brewing left grounds in the cup and sometimes made a complete mess because the water wasn't going through the brew tip.  The flavor of the coffee was not enough to warrant a better rating because we get this product for convenience and easy clean up, as much as for the flavor.",negative
"This is the best drink I have ever had. It also is very good for your digestive system. I would highly recommend it to everyone. I plan to drink it every day and it comes in various flavors, all made of fruit and vegetables.",positive
"A pleasingly chewy, thin cookie with distinct cranberry flavor. It tastes fresh and oatey, with flavor notes that are more bakery than supermarket cookie aisle.<br /><br />There's a good balance of quantity vs calories: three cookies are just 140 calories, and there are about 30 cookies per package.<br /><br />I'm usually not a fan of big-brand packaged cookies.  They are invariably full of artificial ingredients and excessive calorie-counts, while tasting anything but fresh, and trying to mask that lack of freshness with excessive sweetness.  These Newtons Fruit Thins surprise me with their balance of fruit and grain without delving into dull health-food territory.  Recommended.",positive
This is the most delicious coffee ever It does not mess up your stomach it's amazing and tastes wonderful and everyone at work loves it too,positive
"This is a wonderful tea: aromatic, smooth, and robust.  I haven't come across a better Earl Grey yet.",positive
"Bought this last week, shipping was very fast.  After doing the math and making a trip to the store (one which i won't do free advertising for) I discovered I overpaid with amazon.<br /><br />Check with your local stores before purchasing.",negative
I'm normally a fan of jack links but this really disappointed me. Ordered 4 bags and had two of them. I spent more time picking through the meat taking out the nasty gizard and fat chunks all throughout the bag. Also the meat quality was terrible and quality control isn't. Good for this flavor. One piece would be moist and flavorful and the next would bard as a rock and uncomfortable to chew. Overall this was a terrible product. Jack links shouldn't put 10 different cuts of meat in the same bag. If you like quality controlled products this isn't for you.,negative
"I only gave this tea a star because I couldn't post a review without at least one. It really rates ZERO stars.<br />I had loved Good Earth Original Sweet and Spicy Caffeine Free Herbal tea from first sip, and it quickly became my favorite. When I was suddenly unable to find it locally, I was excited to find it on Amazon and ordered 6 boxes, with more to be sent automatically. Alas, the feeling was not to last. I was SO disappointed in the tea!<br />I happily made a cup as soon as it arrived, and something was off about the smell. Then I tasted it, and all doubt was gone- it was NOT the same tea. Reading the ingredients on the box, I discovered ARTIFICIAL FLAVOR as the 3RD INGREDIENT! UGH! No wonder it was so awful! YUCK! It was so bad, it bears repeating... YUCK! It actually gave me a headache (similar to MSG). Don't buy this tea if you liked the original. It is no longer ""all natural""!<br />I emailed a polite inquiry to the tea company about the change in recipe, and still have gotten no response.<br /><br />Customer service at Amazon was wonderful, as always, and promptly issued me a full refund, and I donated the tea to a local charity.",negative
"My first impression is not the initial taste on the tip of my tongue as first expected, but the powerful, almost peppery taste at the back of my throat as I sip this one down. On the second sipping, more on the tip of my tongue this time, the tea's more subtle qualities come through: the mellow side of the lemon and ginger combination--then wham again with the peppery snap at the back of my throat. This is no mildly flavored herbal, but one directly infused with ginger root, lemon peel, lemon grass and blackberry leaves. One other interesting ingredient is linden, a plant with many medicinal properties and used for such for many centuries. It would be interesting to know if it is the linden flower that is used (and most probably it was), since this is a diaphoretic, a very mild fever-inducing part of the plant when taken as a hot tea. This naturally enables the body to help fight off infections according to some sources I looked up on the web. Not to worry though--this is not a fever that will keep you from work! It's one that will make your body work for you instead.<br /><br />I bought this one for some relief from a sore throat and it definitely helps ease my sinus induced problem. As with any lemon-flavored beverage I've tried, it does leave a slight aftertaste of lemon, but not too strong or unpleasant. I imagine it would be quite good with honey, which I will definitely try once I get home from work. For now, a slight bit of sugar seemed to compliment the flavors nicely, even bringing them out more. This is a strong flavored herbal, not a mellow one as I've come to expect a lot of herbals to be. Drink with caution if you like your herbals on the softer side. This one's courting the wilder side of the tea experience.",positive
"I've ordered from this seller before, the exact same product. Unfortunately, this last shipment, the candies simply crumble. Disappointing quality. :(",negative
"I am a long-time green tea consumer.  I switched from coffee to green tea when I learned about the beneficial effects of green tea.  I like a fairly strong tea and usually grate fresh frozen ginger into my tea cup for extra flavor.  I steep a generous teaspoon of the loose leaves in 8 oz. of hot water (not quite boiling).  To my delight, the Jasmine green tea is always good with or without ginger.  I can use the leaves at least twice with good results.  The mild aroma of the tea is like jasmine blossoms and the taste has a sublte sweetness.  I drink at least 24 oz. of the tea each day.  So the fact that the tea is organic is a plus. The price is competitive.  I will buy this tea again",positive
These syrups are so good!  Not too sweet with great flavor!  I wish they were available for purchase locally though.,positive
we were searching for a healthy alternative to breast feeding when my wife had to go back to work. i researched other formula's and didn't like what i read. thats why we are now using baby's only formula.,positive
so smooth tasting.  Good price for this.  good quality. I enjoy this in the morning to start my day.  Or sometimes later in the day to just enjoy the smooth soothing taste of a cappicino.,positive
"I can't give this a negative rating, so I'll give it 1 star. First, be sure to carry power tools, you'll need them to get into the package. The chocolate was old and turning white. The dry roasted soybeans tasted like they were mummified. The crackers have the qualities of gypsum and the hummus only looked like hummus, it tasted like it was made of water, lemon juice and agar. The only thing good in the box is the Baja Blend, which was excellent but is available separately from Amazon. Now I need to find someone hungry enough to give the rest to.<br /><br />I will be ordering more of this !<br /><a href=""http://www.amazon.com/gp/product/B004W8ETXU"">Sweet Perry Orchards Baja Blend Fruit & Nut Mix - 10 Pack</a>",negative
"This product tastes horrible.  I was looking for a soy free protein and came upon this item.  I mixed it with soymilk and it tasted like pea-flavored chalk.  I thought I might have used too much powder so I tried half the amount of powder and it still tasted the same.  Not wanting to give up, I mixed in a scoop of strawberry flavored whey protein and it truly tasted like a combination of strawberry and chalk.<br /><br />My fiancee then tried it and couldn't take more than a sip.  In the end, I was able to down three cups of it, but I don't think I can drink any more in the future. I am going to take them up on their money back product guarantee.",negative
"When I found GF Bisquik in the stores, I was happy. When I found it on Amazon with a good price as a subscription, I was thrilled. Our daughter lives in Texas and is gluten intolerant so I mail her items on a regular basis. This has become a staple in her kitchen. Anything you can make with regular Bisquik you can adapt using this. So now she makes cookies, pancakes and biscuits to her heart's content. Taste and texture of items made with it are good.",positive
"I really like these, but the rest of my family won't eat them.  If you like cinnamon and flaky pastry, you'll like these (or not, cause my family likes cinnamon but won't try these).",positive
"Powdered green tea with lemon & ginger provides quick daily source of antioxidant ingredients desired but in higher concentration and without the bother of brewing tea bags. Simply pour in water bottle, shake and be on your way.<br /><br />Product used to be available in local health food stores but is no longer carried. Much easier and more cost effective when bought in quantity on Amazon.",positive
Looks like Amazon is selling old stuff. Kashi makes great Bars but just don't buy them from Amazon,negative
"Lindt changed the recipe and it's completely blend, sweeter and leaves a greasy texture in your mouth when it melts. What are these people thinking? That their customers are dumb or what??? I'm so disappointed. This new chocolate sucks and I feel cheated.",negative
"It's not terrible, and I do like the ""fresh pasta"" system, but this flavor is definitely less appealing than the Ziti & Meat Sauce or the Rotini & Zesty Marinana.  Won't be ordering this again.",negative
